ID Проведения,ID Курса,Тип,Название курса,Описание,Преподаватель,Часы/ЗЕ,Дата и время,Цена курса,Цена модуля,Месяц
С011,К001,Обычный,Эхокардиография. Продвинутый уровень. Клапаны под контролем,"Разберем сложное просто. 
Понимание гемодинамики - ключ к точной диагностике и к правельному клинечискому решению
3 дня вебинаров","Халикназарова Дилафруз Муратжановна
Врач кардиолог высшей категории. Врач ультразвуковой диагностики. Основатель клиники «Medical doctor Di», главный внештатный кардиолог Сайрамского района Туркестанской области 2014-2024",10 часов / 5 ЗЕ,"9.09.2026 - 19:00
11.09.2026 - 19:00
 12.09.2026- 11:00",45 000KZT,,
С012,К004,Обычный,“ЭхоКГ с нуля для врача-клинициста”,"«Что я вообще смотрю?». Анатомия сердца на ЭхоКГ. Нормальные размеры. Систолическая функция ЛЖ. Диастолическая функция. Клапаны. Что Бывает В Практике. Как читать готовый протокол. Как «переводить» протокол на язык клинициста. Клинические кейсы 
 3 дня вебинаров.","Халикназарова Дилафруз Муратжановна
Врач кардиолог высшей категории. Врач ультразвуковой диагностики. Основатель клиники «Medical doctor Di», главный внештатный кардиолог Сайрамского района Туркестанской области 2014-2024",10 часов / 5 ЗЕ,По мере формирования группы,30 000 KZT,,Сентябрь
С013,К001,Обычный,Эхокардиография. Продвинутый уровень. Клапаны под контролем,"Разберем сложное просто. 
Понимание гемодинамики - ключ к точной диагностике и к правельному клинечискому решению
3 дня вебинаров","Халикназарова Дилафруз Муратжановна
Врач кардиолог высшей категории. Врач ультразвуковой диагностики. Основатель клиники «Medical doctor Di», главный внештатный кардиолог Сайрамского района Туркестанской области 2014-2024",10 часов / 5 ЗЕ,"7.10.2026 - 19:00
9.10.2026 - 19:00
 10.10.2026 - 11:00",45 000KZT,,
С014,К004,Обычный,“ЭхоКГ с нуля для врача-клинициста”,"«Что я вообще смотрю?». Анатомия сердца на ЭхоКГ. Нормальные размеры. Систолическая функция ЛЖ. Диастолическая функция. Клапаны. Что Бывает В Практике. Как читать готовый протокол. Как «переводить» протокол на язык клинициста. Клинические кейсы 
 3 дня вебинаров.","Халикназарова Дилафруз Муратжановна
Врач кардиолог высшей категории. Врач ультразвуковой диагностики. Основатель клиники «Medical doctor Di», главный внештатный кардиолог Сайрамского района Туркестанской области 2014-2024",10 часов / 5 ЗЕ,По мере формирования группы,30 000 KZT,,Октябрь
С015,К001,Обычный,Эхокардиография. Продвинутый уровень. Клапаны под контролем,"Разберем сложное просто. 
Понимание гемодинамики - ключ к точной диагностике и к правельному клинечискому решению
3 дня вебинаров","Халикназарова Дилафруз Муратжановна
Врач кардиолог высшей категории. Врач ультразвуковой диагностики. Основатель клиники «Medical doctor Di», главный внештатный кардиолог Сайрамского района Туркестанской области 2014-2024",10 часов / 5 ЗЕ,"4.11.2026 - 19:00
6.11.2026 - 19:00
 7.11.2026- 11:00",45 000KZT,,
С016,К004,Обычный,“ЭхоКГ с нуля для врача-клинициста”,"«Что я вообще смотрю?». Анатомия сердца на ЭхоКГ. Нормальные размеры. Систолическая функция ЛЖ. Диастолическая функция. Клапаны. Что Бывает В Практике. Как читать готовый протокол. Как «переводить» протокол на язык клинициста. Клинические кейсы 
 3 дня вебинаров.","Халикназарова Дилафруз Муратжановна
Врач кардиолог высшей категории. Врач ультразвуковой диагностики. Основатель клиники «Medical doctor Di», главный внештатный кардиолог Сайрамского района Туркестанской области 2014-2024",10 часов / 5 ЗЕ,По мере формирования группы,30 000 KZT,,Ноябрь
С017,К006,Обычный,Особенности Холтеровского мониторирования у пациентов с ЭКС,* На данном курсе вы узнаете: Какие устройства встречаются в практике врач ФД. Основы работы кардиостимулятора и тайминг. Виды нарушений в работе кардиостимултора. Основные алгоритмы в работе ЭКС. Ограничения холтеровского мониторирования для оценки работы ЭКС.,"Алиева Гузель РахматовнаВрач кардиолог высшей категории, функциональной диагностики, специалист по Холтеровскому мониторированию, включая пациентов с имлантируемыми устройствами",6 часов / 3 ЗЕ,1.06.2026 - 18:30,30 000 KZT,,
С018,К007,Обычный,Бранч: «Искусство слышать шепот»,Очно,"Зубова Аркадия Кирилловна
 Нуриден Нуралы Арсенулы
 Лещинская-Попова Инна Евгеньевна 
 Лещинская Елена Евгеньевна",,7.06.2026 - 11:00,10 000KZT,,
С019,К004,Обычный,“ЭхоКГ с нуля для врача-клинициста”,«Что я вообще смотрю?». Анатомия сердца на ЭхоКГ. Нормальные размеры. Систолическая функция ЛЖ. Диастолическая функция. Клапаны. Что Бывает В Практике. Как читать готовый протокол. Как «переводить» протокол на язык клинициста. Клинические кейсы,"Халикназарова Дилафруз Муратжановна
 Врач кардиолог высшей категории. Врач ультразвуковой диагностики. Основатель клиники «Medical doctor Di», главный внештатный кардиолог Сайрамского района Туркестанской области 2014-2024",,"8.07.2026 - 19:00
10.07.2026 - 19:00
16.07.2026 - 19:00
 18.07.2026 - 11:00",40 000 KZT,,
С020,К002,Модульный,"Модульный курс по ""Холтер и СМАД""
 Как читать холтер и СМАД что бы не ошибаться?",,,,,45 000KZT,10 000KZT,
С021,К002,Модуль,Модуль ABPM. (СМАД) Базис,"Как правильно назначить СМАД. 
 Подготовка пациента: (режим дня, ведение дневника, ограничения)
 Технические моменты: выбор манжеты, частота измерений, типичные артефакты
 Показания к СМАД по современным рекомендациям
 «Эффект белого халата» и маскированная гипертензия
 Что измеряет СМАД
 • Среднесуточное АД
 • Дневное и ночное АД
 • Вариабельность
 • Индекс времени (нагрузка давлением)
 Алгоритм интерпретации СМАД 
 Проверка качества записи
 • достаточное количество измерений
 • наличие ночных данных
 
 Средние значения
 сутки / день / ночь
 Суточный профиль АД: dipper, non-dipper, night-peaker
 Значение ночного давления, вариабельности и утреннего подъёма
 Типичные ошибки отчётов
 Что писать в заключении, чтобы оно помогало врачу","Азим Саида Юсуфовна,
 
 
 Хахазова Карлыгаш Болатовна",,13.07.2026 - 19:00,,,
С022,К002,Модуль,Модуль ABPM PRO. (СМАД) продвинутый уровень интерпретации,"• Non-dipper, over-dipper, night-peaker — клиническое значение
 • Ночная гипертензия как независимый фактор риска
 • Связь с:
 • инсультом
 • гипертрофией ЛЖ
 • ХБП
 Ортостатическая гипотензия при артериальной гипертонии. Особенности по смад)
 Особые клинические группыы:
 пожилые (жёсткие сосуды, вариабельность)
 • пациенты с ожирением
 • беременные
 • пациенты с ХБП
 • пациенты с аритмиями (ограничения метода)
 Где СМАД может «ошибаться»","Азим Саида Юсуфовна,
 
 
 Хахазова Карлыгаш Болатовна",,15.07.2026 - 19:00,,,
С023,К002,Модуль,Модуль HM ECG. Холтеровское мониторирование. Базис,"Как правильно назначить Холтер. Программное и аппаратное обеспечение при проведении ХМЭКГ. Методика проведения. Подготовка пациента. Технические аспекты, которые влияют на результат (электроды, артефакты, дневник пациента). Ошибки установки (электроды, программирование). Роль дневника пациента. Этапы анализа и формирования заключения. Оценка артефактов. Частые ошибки при интерпретации данных мониторирования. 
 Когда Холтер действительно нужен, а когда он бесполезен
 Нормы и «псевдопатология»: что не требует лечения
 Оценка ЧСС, циркадного индекса, вариабельности сердечного ритма. 
 Анализ и интерпретация нарушений ритма
 • Клинически значимые находки:
 o экстрасистолия
 o паузы
 o ишемические изменения
 Частые ошибки интерпретации и гипердиагностика","Азим Саида Юсуфовна,
 
 
 Хахазова Карлыгаш Болатовна",,17.07.2026- 19:00,,,
С024,К002,Модуль,Модуль HM ECG PRO. Холтеровское мониторирование: продвинутый уровень интерпретации,"Нарушения сердечного ритма: синусовая аритмия, синусовая брадикардия, миграция водителя ритма. Фибрилляция и трепетание предсердий
 Оценка суправентрикулярных аритмий: экстрасистолия, эктопические ритмы
 Оценка желудочковых аритмий: экстрасистолия, эктопические ритмы
 Оценка нарушений проводимости: синоатриальная блокада, атриовентрикулярная блокада, блокады ножек пучка Гиса
 ХМЭКГ в диагностике ишемии миокарда. Роль метода в диагностике безболевой ишемии, вариантной стенокардии
 ХМЭКГ при некоторых заболеваниях: синдром слабости синусового узла, ВПВ","Азим Саида Юсуфовна,
 
 
 Хахазова Карлыгаш Болатовна",,20.07.2026 - 19:00,,,
С025,К002,Модуль,Модуль MIX PRO. Разбор реальных кейсов по ХМЭКГ и СМАДу,,"Азим Саида Юсуфовна,
 
 
 Хахазова Карлыгаш Болатовна",,22.07.2026 - 19:00,,,
С026,К008,Обычный,Кардиоонкология,"Методы лечения злокачественных новообразований и возможные сердечно- сосудистые осложнения. Прогнозирование риска. Тромбоэмболические осложнения на фоне злокачественных новообразований и их терапии Особенности межлекарственного взаимодействия в кардиоонкологии. Наблюдение за пациентами до-, во время и после завершения противоопухолевой терапии.","Фурман Мария Васильевна
Bрач- кардиолог, кандидат медицинских наук, специалист по кардиоонкологии, онкодиспансер г.Пермь, Россия","9 часов / 4,5 ЗЕ",По мере формиования группыы,50 000KZT,,июнь
С027,К009,Обычный,Нагрузочное тестирование в кардиологии: от показаний к клиническим решениям,"Два вечера практики для врачей, которые направляют пациентов на нагрузочные тесты или хотят начать их проводить, но сомневаются и боятся ошибок. Разберём, кому тест действительно нужен, как безопасно его выполнять и когда результат реально меняет тактику лечения. 
 Практическая ценность: 
 * Когда нагрузочный тест меняет тактику — и когда нет 
 * Реальные клинические кейсы без «учебной идеализации» 
 * Заключение, которое приводит к решению, а не к вопросам 
 * ВЭМ vs тредмил без путаницы: точность, переносимость, управляемость нагрузки и выбор метода под пациента 
 * Безопасность и уверенность: показания, противопоказания, критерии остановки — чтобы начать проводить тест без страха 
 Для кого: 
 Кардиологи, терапевты, врачи функциональной диагностики — 
 * кто направляет пациентов «на автомате» и хочет делать это обоснованно 
 * кто хочет начать проводить тесты, но откладывает из-за неуверенности 
 Результат: 
 Вы начнёте направлять пациентов точно по показаниям и, при необходимости, сможете уверенно и безопасно проводить нагрузочные тесты в своей практике.","Жалимбетова Жанна Нуржановна
 Bрач кардиолог, магистр медицины, заведующий отделением функциональной диагностики Национальный центр спортивной медицины и реабилитации",,Курс в записи,30 000KZT,,Июнь
С028,К002,Модульный,"Модульный курс по ""Холтер и СМАД""
 Как читать холтер и СМАД что бы не ошибаться?",,,,,45 000 KZT,10 000KZT,
С029,К002,Модуль,Модуль ABPM. (СМАД) Базис,"Как правильно назначить СМАД. 
 Подготовка пациента: (режим дня, ведение дневника, ограничения)
 Технические моменты: выбор манжеты, частота измерений, типичные артефакты
 Показания к СМАД по современным рекомендациям
 «Эффект белого халата» и маскированная гипертензия
 Что измеряет СМАД
 • Среднесуточное АД
 • Дневное и ночное АД
 • Вариабельность
 • Индекс времени (нагрузка давлением)
 Алгоритм интерпретации СМАД 
 Проверка качества записи
 • достаточное количество измерений
 • наличие ночных данных
 
 Средние значения
 сутки / день / ночь
 Суточный профиль АД: dipper, non-dipper, night-peaker
 Значение ночного давления, вариабельности и утреннего подъёма
 Типичные ошибки отчётов
 Что писать в заключении, чтобы оно помогало врачу","Азим Саида Юсуфовна,
 
 
 Хахазова Карлыгаш Болатовна",,15.06.2026,,,
С030,К002,Модуль,Модуль ABPM PRO. (СМАД) продвинутый уровень интерпретации,"• Non-dipper, over-dipper, night-peaker — клиническое значение
 • Ночная гипертензия как независимый фактор риска
 • Связь с:
 • инсультом
 • гипертрофией ЛЖ
 • ХБП
 Ортостатическая гипотензия при артериальной гипертонии. Особенности по смад)
 Особые клинические группыы:
 пожилые (жёсткие сосуды, вариабельность)
 • пациенты с ожирением
 • беременные
 • пациенты с ХБП
 • пациенты с аритмиями (ограничения метода)
 Где СМАД может «ошибаться»","Азим Саида Юсуфовна,
 
 
 Хахазова Карлыгаш Болатовна",,17.06.2026,,,
С031,К002,Модуль,Модуль HM ECG. Холтеровское мониторирование. Базис,"Как правильно назначить Холтер. Программное и аппаратное обеспечение при проведении ХМЭКГ. Методика проведения. Подготовка пациента. Технические аспекты, которые влияют на результат (электроды, артефакты, дневник пациента). Ошибки установки (электроды, программирование). Роль дневника пациента. Этапы анализа и формирования заключения. Оценка артефактов. Частые ошибки при интерпретации данных мониторирования. 
 Когда Холтер действительно нужен, а когда он бесполезен
 Нормы и «псевдопатология»: что не требует лечения
 Оценка ЧСС, циркадного индекса, вариабельности сердечного ритма. 
 Анализ и интерпретация нарушений ритма
 • Клинически значимые находки:
 o экстрасистолия
 o паузы
 o ишемические изменения
 Частые ошибки интерпретации и гипердиагностика","Азим Саида Юсуфовна,
 
 
 Хахазова Карлыгаш Болатовна",,19.06.2026,,,
С032,К002,Модуль,Модуль HM ECG PRO. Холтеровское мониторирование: продвинутый уровень интерпретации,"Нарушения сердечного ритма: синусовая аритмия, синусовая брадикардия, миграция водителя ритма. Фибрилляция и трепетание предсердий
 Оценка суправентрикулярных аритмий: экстрасистолия, эктопические ритмы
 Оценка желудочковых аритмий: экстрасистолия, эктопические ритмы
 Оценка нарушений проводимости: синоатриальная блокада, атриовентрикулярная блокада, блокады ножек пучка Гиса
 ХМЭКГ в диагностике ишемии миокарда. Роль метода в диагностике безболевой ишемии, вариантной стенокардии
 ХМЭКГ при некоторых заболеваниях: синдром слабости синусового узла, ВПВ","Азим Саида Юсуфовна,
 
 
 Хахазова Карлыгаш Болатовна",,22.06.2026,,,
С033,К002,Модуль,Модуль MIX PRO. Разбор реальных кейсов по ХМЭКГ и СМАДу,,"Азим Саида Юсуфовна,
 
 
 Хахазова Карлыгаш Болатовна",,24.06.2026,,,
С034,К004,Обычный,“ЭхоКГ с нуля для врача-клинициста”,«Что я вообще смотрю?». Анатомия сердца на ЭхоКГ. Нормальные размеры. Систолическая функция ЛЖ. Диастолическая функция. Клапаны. Что Бывает В Практике. Как читать готовый протокол. Как «переводить» протокол на язык клинициста. Клинические кейсы,"Халикназарова Дилафруз Муратжановна
Врач кардиолог высшей категории. Врач ультразвуковой диагностики. Основатель клиники «Medical doctor Di», главный внештатный кардиолог Сайрамского района Туркестанской области 2014-2024",,"17.06.2026
18.06.2026
20.06.2026 - Вечернее время",40 000 KZT,,
С035,К008,Обычный,Кардиоонкология,"Методы лечения злокачественных новообразований и возможные сердечно- сосудистые осложнения. Прогнозирование риска. Тромбоэмболические осложнения на фоне злокачественных новообразований и их терапии Особенности межлекарственного взаимодействия в кардиоонкологии. Наблюдение за пациентами до-, во время и после завершения противоопухолевой терапии.","Фурман Мария Васильевна
 Bрач- кардиолог, кандидат медицинских наук, специалист по кардиоонкологии, онкодиспансер г.Пермь, Россия","9 часов / 4,5 ЗЕ","25.05.2026 - 17:00
27.05.2026 - 17:00
28.05.2026 - 17:00",50 000 KZT,,
С036,К004,Обычный,“ЭхоКГ с нуля для врача-клинициста”,«Что я вообще смотрю?». Анатомия сердца на ЭхоКГ. Нормальные размеры. Систолическая функция ЛЖ. Диастолическая функция. Клапаны. Что Бывает В Практике. Как читать готовый протокол. Как «переводить» протокол на язык клинициста. Клинические кейсы,"Халикназарова Дилафруз Муратжановна
 Врач кардиолог высшей категории. Врач ультразвуковой диагностики. Основатель клиники «Medical doctor Di», главный внештатный кардиолог Сайрамского района Туркестанской области 2014-2024",,"13.05.2026 - 17:30
14.05.2026 - 17:30
 16.05.2026 - 10:00",40 000 KZT,,
С037,К009,Обычный,Нагрузочное тестирование в кардиологии: от показаний к клиническим решениям,"Два вечера практики для врачей, которые направляют пациентов на нагрузочные тесты или хотят начать их проводить, но сомневаются и боятся ошибок. Разберём, кому тест действительно нужен, как безопасно его выполнять и когда результат реально меняет тактику лечения. 
 Практическая ценность: 
 * Когда нагрузочный тест меняет тактику — и когда нет 
 * Реальные клинические кейсы без «учебной идеализации» 
 * Заключение, которое приводит к решению, а не к вопросам 
 * ВЭМ vs тредмил без путаницы: точность, переносимость, управляемость нагрузки и выбор метода под пациента 
 * Безопасность и уверенность: показания, противопоказания, критерии остановки — чтобы начать проводить тест без страха 
 Для кого: 
 Кардиологи, терапевты, врачи функциональной диагностики — 
 * кто направляет пациентов «на автомате» и хочет делать это обоснованно 
 * кто хочет начать проводить тесты, но откладывает из-за неуверенности 
 Результат: 
 Вы начнёте направлять пациентов точно по показаниям и, при необходимости, сможете уверенно и безопасно проводить нагрузочные тесты в своей практике.","Жалимбетова Жанна Нуржановна
 Bрач кардиолог, магистр медицины, заведующий отделением функциональной диагностики Национальный центр спортивной медицины и реабилитации",,"19.05.2026 - 19:00
21.05.2026 - 19:00",30 000 KZT,,
С038,К010,Обычный,Психотропные препараты в кардиологии: где заканчивается помощь и начинается риск?,"Влияние психотропных препаратов на сердечно-сосудистую систему в работе врача общей практики и кардиолога
 Основные кардиальные эффекты антидепрессантов, антипсихотиков и нормотимиков: изменения ЧСС и АД, удлинение интервала QT, нарушения ритма и проводимости, лекарственные взаимодействия
 Разбор типичных клинических ситуаций: тревога, депрессия, фибрилляция предсердий, ХСН, полипрагмазия.
 Вебинар ориентирован на ежедневную клиническую практику и помогает снизить риск осложнений при ведении пациентов с психоэмоциональными расстройствами и сердечно-сосудистой патологией","Лещинская-Попова Инна Евгеньевна
 Bрач-кардиолог, магистр медицинских наук, основатель центра Doctrine, педагог с почти 20 летним стажем, обладатель Курмет Грамотасы МЗРК (2016 г), врач-блогер16","6 часов
 / 3 ЗЕ",29.05.2026,10 000 KZT,,
С039,К011,Обычный,"«Спирография в клинической практике: интерпретация без ошибок»
 
 Врождённые пороки сердца","Что на самом деле измеряет спирография
 Поток vs объём
 Ограничения метода
 Подготовка пациента и качество исследования
 Критерии приемлемости и воспроизводимости
 Ошибки пациента и оператора
 Основные показатели:
 VC,FVC, FEV1, FEV1/FVC
 LLN vs % 
 Типы вентиляционных нарушений
 Обструктивный
 Рестриктивный
 Смешанный
 Клинические примеры
 Норма ≠ здоров
 «Пограничные» случаи
 Спирография без симптомов и симптомы без спирографии
 Показания к бодиплетизмографии
 
 Клиническая спирография: дифференциальная диагностика и сложные случаи
 Алгоритм интерпретации спирографии в реальной практике
 Шаг за шагом
 Связь с клиникой
 Когда пересдавать, 
 Разбор клинических кейсов
 Реальные протоколы
 Вопросы от участников","Зурдунова Индира Курванжановна
 Врач аллерголог пульмонолог иммунолог. Член EAACI, ERS, РААКИ, ассоциации пульмонологов Казахстана.",,по мере формирования группыы,,,Май
С040,К002,Модульный,"Модульный курс по ""Холтер и СМАД""",,,,,40 000KZT,10 000KZT,
С041,К002,Модуль,Модуль ABPM. Базис,"Как правильно назначить СМАД. 
 Подготовка пациента: (режим дня, ведение дневника, ограничения)
 Технические моменты: выбор манжеты, частота измерений, типичные артефакты
 Показания к СМАД по современным рекомендациям
 «Эффект белого халата» и маскированная гипертензия
 Что измеряет СМАД
 • Среднесуточное АД
 • Дневное и ночное АД
 • Вариабельность
 • Индекс времени (нагрузка давлением)
 Алгоритм интерпретации СМАД 
 Проверка качества записи
 • достаточное количество измерений
 • наличие ночных данных
 
 Средние значения
 сутки / день / ночь
 Суточный профиль АД: dipper, non-dipper, night-peaker
 Значение ночного давления, вариабельности и утреннего подъёма
 Типичные ошибки отчётов
 Что писать в заключении, чтобы оно помогало врачу","Азим Саида Юсуфовна,
 
 
 Лещинская-Попова Инна Евгеньевна",,по мере формирования группы,,,Май
С042,К002,Модуль,Модуль ABPM PRO. продвинутый уровень интерпретации,"• Non-dipper, over-dipper, night-peaker — клиническое значение
 • Ночная гипертензия как независимый фактор риска
 • Связь с:
 • инсультом
 • гипертрофией ЛЖ
 • ХБП
 Ортостатическая гипотензия при артериальной гипертонии. Особенности по смад)
 Особые клинические группыы:
 пожилые (жёсткие сосуды, вариабельность)
 • пациенты с ожирением
 • беременные
 • пациенты с ХБП
 • пациенты с аритмиями (ограничения метода)
 Где СМАД может «ошибаться»","Азим Саида Юсуфовна,
 
 
 Лещинская-Попова Инна Евгеньевна",,по мере формирования группы,,,Май
С043,К002,Модуль,Модуль HM ECG. Холтеровское мониторирование. Базис,"Как правильно назначить Холтер. Программное и аппаратное обеспечение при проведении ХМЭКГ. Методика проведения. Подготовка пациента. Технические аспекты, которые влияют на результат (электроды, артефакты, дневник пациента). Ошибки установки (электроды, программирование). Роль дневника пациента. Этапы анализа и формирования заключения. Оценка артефактов. Частые ошибки при интерпретации данных мониторирования. 
 Когда Холтер действительно нужен, а когда он бесполезен
 Нормы и «псевдопатология»: что не требует лечения
 Оценка ЧСС, циркадного индекса, вариабельности сердечного ритма. 
 Анализ и интерпретация нарушений ритма
 • Клинически значимые находки:
 o экстрасистолия
 o паузы
 o ишемические изменения
 Частые ошибки интерпретации и гипердиагностика","Хахазова Карлыгаш Болатовна,
 
 
 Лещинская-Попова Инна Евгеньевна",,по мере формирования группы,,,Май
С044,К002,Модуль,Модуль HM ECG PRO. Холтеровское мониторирование: продвинутый уровень интерпретации,"Нарушения сердечного ритма: синусовая аритмия, синусовая брадикардия, миграция водителя ритма. Фибрилляция и трепетание предсердий
 Оценка суправентрикулярных аритмий: экстрасистолия, эктопические ритмы
 Оценка желудочковых аритмий: экстрасистолия, эктопические ритмы
 Оценка нарушений проводимости: синоатриальная блокада, атриовентрикулярная блокада, блокады ножек пучка Гиса
 ХМЭКГ в диагностике ишемии миокарда. Роль метода в диагностике безболевой ишемии, вариантной стенокардии
 ХМЭКГ при некоторых заболеваниях: синдром слабости синусового узла, ВПВ","Хахазова Карлыгаш Болатовна,
 
 
 Лещинская-Попова Инна Евгеньевна",,по мере формирования группы,,,Май
С045,К002,Модуль,Модуль MIX PRO. Разбор реальных кейсов по ХМЭКГ и СМАДу,,"Азим Саида Юсуфовна,
 
 Хахазова Карлыгаш Болатовна,
 
 Лещинская-Попова Инна Евгеньевна",,по мере формирования группы,,,Май
